date,campaignuuid,name,media_type,campaign_type,zone_type,delivered,impression,converted,clicked,complete,cpm,volume
2021-06-01,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,277367,147042,72344,0,72349,0.00,0
2021-06-01,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,131400,121366,2104,0,7057,0.00,0
2021-06-01,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,142925,132319,1895,0,5953,0.00,0
2021-06-01,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,356713,333135,46315,0,46258,0.00,0
2021-06-01,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,925,916,9,0,9,0.00,0
2021-06-01,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,144999,134355,1863,0,9782,0.00,0
2021-06-02,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,250098,132004,65004,0,65007,0.00,0
2021-06-02,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,164623,152173,1370,0,4662,0.00,0
2021-06-02,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,178316,164924,1051,0,3352,0.00,0
2021-06-02,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,295937,275054,25608,0,25595,0.00,0
2021-06-02,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,893,889,1,0,1,0.00,0
2021-06-02,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,176022,162930,1111,0,6083,0.00,0
2021-06-03,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,330508,177790,87240,0,87245,0.00,0
2021-06-03,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,181792,166801,2004,0,6277,0.00,0
2021-06-03,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,193426,177821,1831,0,5614,0.00,0
2021-06-03,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,396445,366152,52769,0,52671,0.00,0
2021-06-03,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,1042,1036,33,0,33,0.00,0
2021-06-03,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,194206,178480,1839,0,9373,0.00,0
2021-06-04,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,296475,155310,75883,0,75883,0.00,0
2021-06-04,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,153168,141007,2108,0,6681,0.00,0
2021-06-04,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,162474,149619,1953,0,6035,0.00,0
2021-06-04,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,364864,336152,55864,0,55820,0.00,0
2021-06-04,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,918,911,29,0,29,0.00,0
2021-06-04,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,167604,154058,1922,0,9896,0.00,0
2021-06-05,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,311970,168058,82631,0,82632,0.00,0
2021-06-05,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,170918,158451,2046,0,6518,0.00,0
2021-06-05,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,179090,166009,1901,0,5878,0.00,0
2021-06-05,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,370296,343192,49422,0,49388,0.00,0
2021-06-05,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,1134,1125,3,0,3,0.00,0
2021-06-05,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,185579,171678,1858,0,9569,0.00,0
2021-06-06,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,293377,159590,78559,0,78561,0.00,0
2021-06-06,5db1c3fc-b592-417e-83cc-364d958c304e,Desafio da fortuna | Netflix | X,programatica,CPV,Desafio,159211,146817,1911,0,6064,0.00,0
2021-06-06,67a4a982-46a3-4f4f-922a-bffe9dfebf05,#rumo ao diamante,programatica,CPV,Desafio,166296,154495,1794,0,5536,0.00,0
2021-06-06,6dc62b92-ea79-4e61-b3df-7f7ed10dcf47,Avulso,programatica,CPV,Desafio,355892,329744,51432,0,51385,0.00,0
2021-06-06,7f537cf8-19c7-4895-be23-79e99a3192d4,Mídia Claro free 10/02 | Magazine Luiza | X,programatica,FIXED_CPM,Avulso,1665,1658,4,0,4,0.00,0
2021-06-06,d90b2203-558e-4ad9-97cb-2ea74ec79d3c,Dobro de moedas,programatica,CPV,Desafio,163569,151862,1863,0,9784,0.00,0
2021-06-07,3f794e6b-b385-4ef9-b9c7-06dbb290814e,Campanha Calhau - Fallback (Claro Promo) - V2 | Globo | X,vast,CPV,Avulso,323127,173182,84772,0,84776,0.00,0
